
elapsed_time_ms,position_rad,velocity_rad_per_sec,home,photocell,
5163,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5164,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5165,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5166,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5167,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5168,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5169,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5170,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5171,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5172,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5173,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5174,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5175,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5176,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5177,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5178,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5179,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5180,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5181,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5182,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5183,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5184,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5185,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5186,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5187,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5188,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5189,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5190,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5191,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5192,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5193,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5194,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5195,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5196,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5197,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5198,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5199,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5200,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5201,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5202,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5203,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5204,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5205,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5206,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5207,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5208,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5209,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5210,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5211,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5212,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5213,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5214,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5215,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5216,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5217,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5218,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5219,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5220,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5221,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5222,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5223,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5224,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5225,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5226,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5227,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5228,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5229,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5230,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5231,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5232,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5233,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5234,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5235,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5236,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5237,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5238,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5239,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5240,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5241,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5242,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5243,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5244,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5245,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
