
elapsed_time_ms,position_rad,velocity_rad_per_sec,
12410,90.8769,28.0847,
12411,90.9022,28.0153,
12412,90.9236,27.8518,
12413,90.949,27.7884,
12414,90.9689,27.592,
12415,90.9927,27.4968,
12416,91.0149,27.3653,
12417,91.0395,27.2948,
12418,91.0617,27.1686,
12419,91.0847,27.0646,
12420,91.1077,26.9633,
12421,91.1307,26.8643,
12422,91.1537,26.7679,
12423,91.1745,26.6166,
12424,91.1982,26.5455,
12425,91.2166,26.3421,
12426,91.2404,26.2779,
12427,91.2604,26.1195,
12428,91.2826,26.0227,
12429,91.3041,25.9089,
12430,91.3263,25.8173,
12431,91.3493,25.7471,
12432,91.3677,25.5637,
12433,91.39,25.4806,
12434,91.4091,25.3229,
12435,91.4314,25.246,
12436,91.4521,25.1325,
12437,91.4728,25.0219,
12438,91.4951,24.9525,
12439,91.5135,24.7887,
12440,91.5349,24.7059,
12441,91.5533,24.5485,
12442,91.5741,24.4525,
12443,91.5963,24.3973,
12444,91.6162,24.286,
12445,91.6369,24.1965,
12446,91.6531,23.9942,
12447,91.6738,23.912,
12448,91.6945,23.8321,
12449,91.7129,23.6963,
12450,91.7321,23.5834,
12451,91.7497,23.4348,
12452,91.7696,23.3475,
12453,91.7903,23.2815,
12454,91.8057,23.083,
12455,91.8256,23.0045,
12456,91.8448,22.9087,
12457,91.8632,22.7963,
12458,91.8816,22.6864,
12459,91.8985,22.5411,
12460,91.9184,22.4762,
12461,91.9384,22.4129,
12462,91.9529,22.2169,
12463,91.9714,22.1215,
12464,91.9905,22.048,
12465,92.0089,21.9568,
12466,92.0266,21.8491,
12467,92.0427,21.7055,
12468,92.0603,21.6038,
12469,92.0787,21.524,
12470,92.0933,21.3502,
12471,92.1117,21.2767,
12472,92.1317,21.2431,
12473,92.1439,21.0189,
12474,92.1623,20.9537,
12475,92.1807,20.8899,
12476,92.1945,20.7129,
12477,92.2122,20.6361,
12478,92.2306,20.5804,
12479,92.2429,20.3726,
12480,92.2597,20.2852,
12481,92.2782,20.2383,
12482,92.2912,20.0583,
12483,92.3088,19.9978,
12484,92.3257,19.9198,
12485,92.338,19.7285,
12486,92.3541,19.6379,
12487,92.3687,19.5113,
12488,92.384,19.4071,
12489,92.4001,19.3245,
12490,92.4147,19.2057,
12491,92.4315,19.1475,
12492,92.4431,18.9564,
12493,92.4584,18.8661,
12494,92.476,18.8354,
12495,92.4875,18.6522,
12496,92.5036,18.5885,
12497,92.519,18.5073,
12498,92.532,18.3706,
12499,92.5451,18.2373,
12500,92.5589,18.1264,
12501,92.5757,18.0952,
12502,92.5857,17.8921,
12503,92.6018,17.8474,
12504,92.6149,17.7272,
12505,92.6287,17.6291,
12506,92.6386,17.4376,
12507,92.6532,17.366,
12508,92.6685,17.3154,
12509,92.6801,17.1702,
12510,92.6939,17.0861,
12511,92.7069,16.9849,
12512,92.7215,16.9246,
12513,92.7307,16.7315,
12514,92.7437,16.6392,
12516,92.7552,16.5109,
12516,92.7706,16.4817,
12517,92.7798,16.2996,
12518,92.7936,16.2374,
12519,92.8043,16.0998,
12520,92.8189,16.0616,
12521,92.8281,15.8901,
12522,92.8381,15.7421,
12523,92.8496,15.6362,
12524,92.8603,15.5139,
12525,92.8726,15.4327,
12526,92.881,15.2579,
12527,92.894,15.2024,
12528,92.904,15.0716,
12530,92.9171,15.0208,
12530,92.9255,14.8562,
12531,92.9347,14.7148,
12532,92.947,14.6539,
12533,92.9577,14.5559,
12534,92.97,14.4989,
12535,92.9769,14.3088,
12536,92.9892,14.258,
12537,92.9984,14.1316,
12538,93.0099,14.0659,
12539,93.0198,13.9636,
12540,93.0267,13.7871,
12541,93.0375,13.7108,
12542,93.0467,13.5982,
12543,93.0574,13.5266,
12544,93.0682,13.457,
12545,93.0751,13.293,
12546,93.0858,13.2292,
12547,93.095,13.1285,
12548,93.1034,13.0113,
12549,93.1142,12.9545,
12550,93.1211,12.8031,
12551,93.1272,12.6366,
12552,93.1364,12.5507,
12553,93.1449,12.4479,
12554,93.1525,12.3284,
12555,93.1625,12.2694,
12556,93.1694,12.1353,
12557,93.1755,11.9853,
12558,93.1855,11.9349,
12559,93.1932,11.8283,
12560,93.2008,11.7244,
12561,93.2108,11.6804,
12562,93.2169,11.542,
12563,93.2223,11.3875,
12564,93.2285,11.2563,
12565,93.2369,11.1857,
12566,93.243,11.0596,
12567,93.2484,10.9172,
12568,93.2561,10.8361,
12569,93.263,10.7379,
12570,93.2676,10.5844,
12571,93.2714,10.4156,
12572,93.2768,10.2895,
12573,93.2844,10.2239,
12574,93.289,10.0835,
12575,93.2944,9.96551,
12576,93.2998,9.85065,
12577,93.3067,9.777,
12578,93.3121,9.66685,
12579,93.3159,9.52093,
12580,93.319,9.35958,
12581,93.3228,9.22153,
12582,93.3282,9.12527,
12583,93.3335,9.03122,
12584,93.3381,8.92065,
12585,93.342,8.79338,
12586,93.3458,8.66949,
12587,93.3496,8.54869,
12588,93.355,8.46906,
12589,93.3588,8.35327,
12590,93.3619,8.22111,
12591,93.3642,8.07319,
12592,93.3665,7.92877,
12593,93.368,7.76889,
12594,93.3703,7.63227,
12595,93.3719,7.4798,
12596,93.3742,7.35041,
12597,93.3765,7.22406,
12598,93.378,7.08179,
12599,93.3803,6.96235,
12600,93.3819,6.82663,
12601,93.3834,6.6943,
12602,93.3841,6.54602,
12603,93.3849,6.40163,
12604,93.3857,6.26085,
12605,93.3865,6.12341,
12606,93.3872,5.98958,
12607,93.3872,5.83984,
12608,93.388,5.71292,
12609,93.388,5.5701,
12610,93.388,5.43085,
12611,93.388,5.29507,
12612,93.388,5.1627,
12613,93.388,5.03363,
12614,93.388,4.90779,
12615,93.3872,4.76602,
12616,93.3872,4.64687,
12617,93.3865,4.51144,
12618,93.3857,4.37958,
12619,93.3849,4.25082,
12620,93.3841,4.12529,
12621,93.3834,4.00308,
12622,93.3826,3.88374,
12623,93.3803,3.72924,
12624,93.3795,3.61674,
12625,93.3773,3.46891,
12626,93.3757,3.34385,
12627,93.3742,3.22192,
12628,93.3726,3.10284,
12629,93.3711,2.98693,
12630,93.3703,2.89318,
12631,93.3688,2.78252,
12632,93.3673,2.67462,
12633,93.3665,2.58849,
12634,93.365,2.48544,
12635,93.3627,2.36589,
12636,93.3619,2.28748,
12637,93.3596,2.17269,
12638,93.3565,2.0417,
12639,93.3535,1.91398,
12640,93.3504,1.78945,
12641,93.3473,1.66804,
12642,93.345,1.56874,
12643,93.3435,1.49118,
12644,93.3412,1.39649,
12645,93.3381,1.2849,
12646,93.3358,1.19518,
12647,93.3335,1.1077,
12648,93.3305,1.00333,
12649,93.3274,0.901572,
12650,93.3251,0.821622,
12651,93.3228,0.743479,
12652,93.3213,0.686554,
12653,93.3197,0.631053,
12654,93.3182,0.576939,
12655,93.3167,0.524178,
12656,93.3151,0.472736,
12657,93.3144,0.441653,
12658,93.3128,0.392274,
12659,93.3113,0.344129,
12660,93.3105,0.316262,
12661,93.309,0.270018,
12662,93.3082,0.244194,
12663,93.3067,0.199751,
12664,93.3059,0.175493,
12665,93.3052,0.152032,
12666,93.3044,0.128967,
12667,93.3044,0.125743,
12668,93.3044,0.1226,
12669,93.3036,0.100461,
12670,93.3036,0.0979495,
12671,93.3044,0.114574,
12672,93.3059,0.150048,
12673,93.3067,0.165561,
12674,93.3074,0.180495,
12675,93.309,0.21432,
12676,93.3098,0.228227,
12677,93.3105,0.241594,
12678,93.3113,0.254819,
12679,93.3121,0.267713,
12680,93.3128,0.280093,
12681,93.3136,0.292355,
12682,93.3136,0.285046,
12683,93.3144,0.296994,
12684,93.3144,0.289569,
12685,93.3144,0.28233,
12686,93.3151,0.294536,
12687,93.3151,0.287172,
12688,93.3151,0.279993,
12689,93.3151,0.272993,
12690,93.3144,0.246904,
12691,93.3144,0.240731,
12692,93.3128,0.196375,
12693,93.3121,0.172393,
12694,93.3113,0.148819,
12695,93.3098,0.10676,
12696,93.309,0.0848271,
12697,93.3074,0.0443687,
12698,93.3052,-0.0141517,
12699,93.3028,-0.0713998,
12700,93.3006,-0.127026,
12701,93.2982,-0.181452,
12702,93.2967,-0.215254,
12703,93.2952,-0.24821,
12704,93.2936,-0.280342,
12705,93.2921,-0.311672,
12706,93.2898,-0.361482,
12707,93.2883,-0.390782,
12708,93.286,-0.438615,
12709,93.2829,-0.504325,
12710,93.2791,-0.587466,
12711,93.2768,-0.630381,
12712,93.2737,-0.691297,
12713,93.2714,-0.731616,
12714,93.2691,-0.770737,
12715,93.2668,-0.809071,
12716,93.2637,-0.865519,
12717,93.2607,-0.920557,
12718,93.2553,-1.03182,
12719,93.2507,-1.12104,
12720,93.2461,-1.20802,
12721,93.2423,-1.27376,
12722,93.2369,-1.3762,
12723,93.2308,-1.49514,
12724,93.2254,-1.59185,
12725,93.2208,-1.66726,
12726,93.2162,-1.74059,
12727,93.2108,-1.83135,
12728,93.2016,-2.0156,
12729,93.1955,-2.11856,
12730,93.1886,-2.23821,
12731,93.1801,-2.3932,
12732,93.1732,-2.50599,
12733,93.1686,-2.55835,
12734,93.1617,-2.66701,
12735,93.1525,-2.83036,
12736,93.1464,-2.91295,
12737,93.1395,-3.01274,
12738,93.131,-3.14838,
12739,93.1249,-3.22302,
12740,93.1195,-3.27672,
12741,93.1126,-3.36742,
12742,93.1027,-3.53233,
12743,93.095,-3.6359,
12744,93.0866,-3.75596,
12745,93.0766,-3.91116,
12746,93.0704,-3.96692,
12747,93.0628,-4.05944,
12748,93.0513,-4.24558,
12749,93.0428,-4.35039,
12750,93.0329,-4.49092,
12751,93.0252,-4.57034,
12752,93.0191,-4.60943,
12753,93.0083,-4.76275,
12754,92.9991,-4.87371,
12755,92.9899,-4.98189,
12756,92.9792,-5.1259,
12757,92.9723,-5.17037,
12758,92.9623,-5.2904,
12759,92.9508,-5.44577,
12760,92.9408,-5.55872,
12761,92.9293,-5.70738,
12762,92.9224,-5.73731,
12763,92.9109,-5.88151,
12764,92.9002,-6.00302,
12765,92.8894,-6.12131,
12766,92.8787,-6.23664,
12767,92.8703,-6.29168,
12768,92.8572,-6.46035,
12769,92.8473,-6.54814,
12770,92.8342,-6.7104,
12771,92.825,-6.77286,
12772,92.8135,-6.89116,
12773,92.8005,-7.04485,
12774,92.7859,-7.23303,
12775,92.7759,-7.3015,
12776,92.7614,-7.48326,
12777,92.7491,-7.60288,
12778,92.7345,-7.77711,
12779,92.7238,-7.85124,
12780,92.7077,-8.0576,
12781,92.6939,-8.2012,
12782,92.6793,-8.36066,
12783,92.6632,-8.55429,
12784,92.6486,-8.70473,
12785,92.6333,-8.87049,
12786,92.6202,-8.9747,
12787,92.6026,-9.1915,
12788,92.5849,-9.40269,
12789,92.5704,-9.53193,
12790,92.552,-9.75387,
12791,92.5343,-9.951,
12792,92.5174,-10.1241,
12793,92.499,-10.3311,
12794,92.4806,-10.533,
12795,92.4599,-10.7874,
12796,92.4392,-11.0355,
12797,92.4223,-11.1814,
12798,92.4001,-11.458,
12799,92.3802,-11.6701,
12800,92.3571,-11.9536,
12801,92.3357,-12.1915,
12802,92.3127,-12.462,
12803,92.2881,-12.764,
12804,92.2636,-13.0585,
12805,92.2398,-13.3266,
12806,92.2145,-13.6261,
12807,92.1884,-13.9374,
12808,92.1608,-14.2792,
12809,92.1355,-14.5551,
12810,92.1048,-14.9582,
12811,92.0749,-15.3321,
12812,92.0442,-15.7157,
12813,92.0151,-16.0514,
12814,91.9844,-16.4173,
12815,91.9483,-16.9081,
12816,91.9177,-17.2523,
12817,91.8839,-17.6646,
12818,91.8471,-18.1435,
12819,91.8126,-18.5528,
12820,91.7735,-19.0669,
12821,91.7405,-19.4146,
12823,91.6991,-19.9647,
12823,91.6623,-20.3861,
12824,91.6239,-20.835,
12825,91.5848,-21.2921,
12826,91.5472,-21.6993,
12827,91.5035,-22.2498,
12828,91.4651,-22.6523,
12829,91.426,-23.0639,
12830,91.3846,-23.5228,
12831,91.3486,-23.836,
12832,91.3048,-24.333,
12833,91.2642,-24.7409,
12834,91.2274,-25.0429,
12835,91.1852,-25.4714,
12836,91.1507,-25.6975,
12837,91.1085,-26.1096,
12838,91.0671,-26.4924,
12839,91.031,-26.7313,
12840,90.9896,-27.0983,
12841,90.9551,-27.2837,
12842,90.9137,-27.6371,
12843,90.8753,-27.9048,
12844,90.8377,-28.1468,
12845,90.7986,-28.421,
12846,90.7626,-28.6117,
12847,90.7212,-28.9319,
12848,90.6859,-29.0908,
12849,90.6475,-29.3221,
12850,90.6123,-29.471,
12851,90.5716,-29.7507,
12852,90.5378,-29.8505,
12853,90.4972,-30.1205,
12854,90.465,-30.1728,
12855,90.4236,-30.454,
12856,90.3891,-30.5555,
12857,90.3507,-30.7504,
12858,90.317,-30.8253,
12859,90.2771,-31.0518,
12860,90.2441,-31.0999,
12861,90.2057,-31.2812,
12862,90.1735,-31.3045,
12863,90.1344,-31.4997,
12864,90.1007,-31.5561,
12865,90.0661,-31.63,
12866,90.0293,-31.7596,
12867,89.9941,-31.8476,
12868,89.958,-31.9526,
12869,89.9258,-31.9593,
12870,89.8867,-32.1382,
12871,89.8552,-32.1209,
12872,89.8199,-32.1999,
12873,89.7847,-32.2768,
12874,89.7509,-32.3137,
12875,89.7149,-32.4071,
12876,89.6834,-32.3829,
12877,89.6474,-32.4746,
12878,89.6129,-32.5256,
12879,89.5822,-32.4796,
12880,89.5446,-32.6072,
12881,89.5124,-32.5973,
12882,89.4817,-32.5493,
12883,89.4441,-32.6751,
12884,89.4127,-32.6444,
12885,89.382,-32.5953,
12886,89.3444,-32.72,
12887,89.3137,-32.6689,
12888,89.2831,-32.6193,
12889,89.2462,-32.7241,
12890,89.2156,-32.673,
12891,89.1849,-32.6233,
12892,89.1488,-32.7089,
12893,89.1181,-32.6581,
12894,89.0882,-32.5896,
12895,89.0522,-32.6758,
12896,89.0223,-32.6068,
12897,88.9924,-32.5395,
12898,88.9571,-32.608,
12899,88.9264,-32.5599,
12900,88.8973,-32.4745,
12901,88.865,-32.468,
12902,88.8321,-32.4808,
12903,88.8021,-32.4167,
12904,88.7715,-32.3732,
12905,88.74,-32.3501,
12906,88.707,-32.3657,
12907,88.6787,-32.2661,
12908,88.6495,-32.188,
12909,88.6165,-32.2079,
12910,88.5874,-32.1313,
12911,88.5567,-32.0949,
12912,88.5276,-32.0214,
12913,88.4992,-31.9302,
12914,88.4647,-31.9948,
12915,88.4355,-31.9235,
12916,88.4079,-31.8157,
12917,88.3788,-31.7491,
12918,88.3496,-31.684,
12919,88.3166,-31.7165,
12920,88.289,-31.6138,
12921,88.2607,-31.5328,
12922,88.2307,-31.4924,
12923,88.2039,-31.3762,
12924,88.1709,-31.4164,
12925,88.1425,-31.3403,
12926,88.1157,-31.228,
12927,88.0881,-31.1376,
12928,88.0605,-31.0494,
12929,88.0313,-31.0018,
12930,88.0045,-30.8979,
12931,87.9723,-30.9308,
12932,87.9454,-30.8287,
12933,87.9186,-30.729,
12934,87.891,-30.651,
12935,87.8641,-30.5559,
12936,87.8357,-30.5016,
12937,87.8104,-30.3717,
12938,87.779,-30.3986,
12939,87.7521,-30.3097,
12940,87.7253,-30.2231,
12941,87.6992,-30.1195,
12942,87.6724,-30.0377,
12943,87.6455,-29.9577,
12944,87.621,-29.8224,
12945,87.5934,-29.7671,
12946,87.5681,-29.6558,
12947,87.5397,-29.6239,
12948,87.5159,-29.4777,
12949,87.4868,-29.4693,
12950,87.4614,-29.3654,
12951,87.4338,-29.3216,
12952,87.4101,-29.1829,
12953,87.3825,-29.1436,
12954,87.3579,-29.0286,
12955,87.3326,-28.9357,
12956,87.3081,-28.8259,
12957,87.2827,-28.7379,
12958,87.2574,-28.6523,
12959,87.2329,-28.5496,
12960,87.2083,-28.4495,
12961,87.183,-28.3709,
12962,87.1577,-28.2945,
12963,87.1339,-28.1815,
12964,87.1102,-28.0715,
12965,87.0856,-27.9833,
12966,87.0611,-27.8973,
12967,87.0373,-27.7942,
12968,87.0143,-27.6746,
12969,86.9898,-27.5963,
12970,86.9667,-27.4817,
12971,86.943,-27.3891,
12972,86.9223,-27.2221,
12973,86.8962,-27.1934,
12974,86.8755,-27.0313,
12975,86.8509,-26.9691,
12976,86.8317,-26.7743,
12977,86.8064,-26.7377,
12978,86.785,-26.6061,
12979,86.7604,-26.5546,
12980,86.7389,-26.4276,
12981,86.7159,-26.3422,
12982,86.6929,-26.2589,
12983,86.6707,-26.1584,
12984,86.6477,-26.0797,
12985,86.6293,-25.888,
12986,86.6063,-25.816,
12987,86.5871,-25.6499,
12988,86.5641,-25.5839,
12989,86.5434,-25.462,
12990,86.5219,-25.3624,
12991,86.4989,-25.3036,
12992,86.4797,-25.1503,
12993,86.4582,-25.0585,
12994,86.4414,-24.8539,
12995,86.4183,-24.8078,
12996,86.3976,-24.7053,
12997,86.3762,-24.6245,
12998,86.3547,-24.5459,
12999,86.3401,-24.2965,
13000,86.3179,-24.2451,
13001,86.2979,-24.1375,
13002,86.2772,-24.052,
13003,86.2565,-23.9683,
13004,86.2419,-23.7334,
13005,86.2205,-23.677,
13006,86.2005,-23.5836,
13007,86.1806,-23.4924,
13008,86.1614,-23.3846,
13009,86.1461,-23.1834,
13010,86.1261,-23.1024,
13011,86.1054,-23.0425,
13012,86.0885,-22.8883,
13013,86.0701,-22.7764,
13014,86.0533,-22.6289,
13015,86.0349,-22.5232,
13016,86.0172,-22.4013,
13017,86.0003,-22.263,
13018,85.9812,-22.1857,
13019,85.962,-22.1106,
13020,85.9489,-21.8838,
13021,85.9305,-21.7969,
13022,85.9114,-21.7313,
13023,85.8976,-21.5331,
13024,85.8784,-21.4743,
13025,85.8607,-21.3784,
13026,85.8477,-21.1699,
13027,85.8293,-21.1009,
13028,85.8117,-21.0143,
13029,85.7986,-20.8149,
13030,85.781,-20.7355,
13031,85.7595,-20.7541,
13032,85.7518,-20.4269,
13033,85.7342,-20.3572,
13034,85.7158,-20.3085,
13035,85.7035,-20.1077,
13036,85.6859,-20.046,
13037,85.6698,-19.9475,
13038,85.6575,-19.7557,
13039,85.6414,-19.6644,
13040,85.6268,-19.5371,
13041,85.6115,-19.4321,
13042,85.5961,-19.3299,
13043,85.5823,-19.1918,
13044,85.5631,-19.1914,
13045,85.5509,-19.0183,
13046,85.5363,-18.9071,
13047,85.5263,-18.6837,
13048,85.5095,-18.6385,
13049,85.4941,-18.5562,
13050,85.4818,-18.399,
13051,85.4673,-18.3033,
13052,85.4581,-18.0759,
13053,85.4427,-18.0074,
13054,85.4305,-17.8641,
13055,85.4167,-17.7625,
13056,85.4067,-17.5678,
13057,85.3921,-17.4929,
13058,85.3798,-17.3624,
13059,85.3676,-17.2351,
13060,85.3584,-17.0344,
13061,85.3438,-16.9729,
